trip_id,trip_datetime,driver_id,vehicle_id,pickup_zone,dropoff_zone,distance_km,duration_min,fare_amount,payment,platform
T22000033,04/11/2025 21:41,DR-1027,VH-028,East,Suburbs,3.92,21.8,EUR 14.01,cash,RideGo
T22000034,18/09/2025 22:21,DR-1014,VH-032,East,NULL,12.28,34.4,EUR 27.15,card,Direct
T22000035,19/12/2025 12:29,DR-1020,VH-029,Port,West,8.47,38.6,EUR 23.95,card,RideGo
T22000036,10/12/2025 20:08,DR-1052,VH-024,East,West,9.25,41.6,EUR 25.69,card,CityHail
T22000037,24/12/2025 03:25,DR-1024,VH-038,Airport,North,1.84,10.8,EUR 8.54,cash,CityHail
T22000038,17/10/2025 14:49,DR-1037,VH-009,Suburbs,Centre,14.08,57.7,EUR 35.75,Card,RideGo
T22000039,18/10/2025 09:28,DR-1054,VH-018,Airport,Airport,9.99,35.9,EUR 24.94,Card,RideGo
T22000040,12/12/2025 11:40,DR-1018,VH-015,East,Port,5.87,26.8,EUR 17.65,CASH,RideGo
T22000041,10/08/2025 00:11,DR-1049,VH-010,Airport,West,6.26,29.1,EUR 18.75,wallet,RideGo
T22000042,08/07/2025 07:14,DR-1004,VH-004,North,West,4.37,20.0,EUR 14.03,Card,CityHail
T22000043,17/10/2025 20:39,DR-1020,VH-032,Port,Airport,2.8,13.2,EUR 10.32,wallet,CityHail
T22000044,03/11/2025 19:36,DR-1025,VH-010,Centre,Port,15.07,66.6,EUR 39.38,card,RideGo
T22000045,22/08/2025 00:30,DR-1001,VH-032,East,Port,7.06,26.7,EUR 19.00,card,CityHail
T22000046,29/07/2025 10:16,DR-1004,VH-034,Suburbs,Airport,3.69,13.6,EUR 11.45,card,RideGo
T22000047,01/08/2025 21:58,DR-1049,VH-027,North,Centre,11.88,51.9,EUR 31.59,wallet,RideGo
T22000048,23/07/2025 08:45,DR-1017,VH-001,North,East,14.1,54.1,EUR 34.76,card,RideGo
T22000049,05/11/2025 14:41,DR-1031,VH-012,Port,West,2.13,13.1,EUR 9.52,cash,CityHail
T22000050,02/09/2025 18:58,DR-1020,VH-023,West,West,2.19,13.5,EUR 9.70,cash,Direct
T22000051,01/12/2025 01:56,DR-1008,VH-005, Airport ,Centre,5.3,18.6,EUR 14.70,cash,Direct
T22000052,15/09/2025 07:59,DR-1054,VH-006,Suburbs,Centre,12.93,36.8,EUR 28.57,card,RideGo
T22000053,31/10/2025 20:19,DR-1047,VH-023,North,Centre,4.46,22.2,EUR 14.74,Card,CityHail
T22000054,04/09/2025 07:43,DR-1062,VH-037,North,Suburbs,1.83,10.2,EUR 8.36,CASH,Direct
T22000055,23/11/2025 18:44,DR-1024,VH-017,East,Suburbs,8.47,26.0,EUR 20.42,cash,Direct
T22000056,15/10/2025 17:07,DR-1065,VH-016,West,North,6.83,31.6,EUR 20.10,card,RideGo
T22000057,23/07/2025 18:58,DR-1012,VH-034,Centre,North,6.43,18.6,EUR 16.00,wallet,Direct
T22000058,09/07/2025 15:40,DR-1003,VH-021, East ,North,9.97,48.3,EUR 28.39,cash,RideGo
T22000059,24/09/2025 08:54,DR-1064,VH-006,West,Centre,6.61,20.9,EUR 16.85,card,CityHail
T22000060,20/12/2025 02:56,DR-1035,VH-035,North,Airport,2.27,10.3,EUR 8.89,Card,Direct
T22000061,25/08/2025 03:08,DR-1019,VH-036,East,Port,2.81,13.7,EUR 10.47,CASH,CityHail
T22000062,18/09/2025 07:53,DR-1023,VH-023,Suburbs,North,7.74,21.5,EUR 18.32,CASH,Direct
T22000063,22/11/2025 20:08,DR-1030,VH-034,West,East,5.8,24.8,EUR 17.01,card,CityHail
T22000064,15/09/2025 18:02,DR-1067,VH-004,North,Centre,12.6,49.3,EUR 31.69,wallet,RideGo
T22000065,19/10/2025 03:19,DR-1031,VH-021,Centre,Centre,7.38,20.9,EUR 17.74,wallet,CityHail
T22000066,18/07/2025 20:30,DR-1014,VH-037,Suburbs,West,4.1,19.6,EUR 13.60,Card,Direct
T22000067,08/07/2025 09:14,DR-1026,VH-030,East,East,2.8,12.4,EUR 10.09,CASH,Direct
T22000068,13/10/2025 12:43,DR-1045,VH-004,Suburbs,Airport,4.39,14.9,EUR 12.62,Card,CityHail
T22000069,12/09/2025 22:23,DR-1043,VH-022, West ,Port,9.13,45.9,EUR 26.75,CASH,RideGo
T22000070,14/09/2025 23:59,DR-1023,VH-004,East,Port,6.09,21.0,EUR 16.28,cash,RideGo
T22000071,10/10/2025 03:39,DR-1063,VH-005,Airport,North,1.96,12.7,EUR 9.21,Card,CityHail
T22000072,10/11/2025 10:09,DR-1039,VH-038,North,East,4.11,15.7,EUR 12.52,wallet,CityHail
T22000073,06/08/2025 08:06,DR-1049,VH-037,Airport,West,1.46,11.2,EUR 8.22,CASH,CityHail
T22000074,05/11/2025 18:58,DR-1003,VH-010,Airport,West,6.85,20.3,EUR 16.96,CASH,RideGo
T22000075,11/11/2025 23:59,DR-1066,VH-032,Port,East,11.49,40.8,EUR 28.04,cash,Direct
T22000076,28/12/2025 06:33,DR-1034,VH-042,North,Port,6.47,30.9,EUR 19.49,CASH,RideGo
T22000077,11/09/2025 20:22,DR-1010,VH-035,Suburbs,Centre,2.48,13.5,EUR 10.03,card,Direct
T22000078,05/08/2025 13:23,DR-1011,VH-008,West,West,7.54,38.6,EUR 22.88,CASH,RideGo
T22000079,09/07/2025 23:47,DR-1046,VH-014,West,Suburbs,7.54,30.5,EUR 20.61,wallet,RideGo
T22000080,08/11/2025 17:34,DR-1057,VH-041,West,Centre,4.62,23.9,EUR 15.40,Card,Direct
T22000081,18/07/2025 12:42,DR-1029,VH-025,Centre,Centre,4.09,19.0,EUR 13.42,CASH,RideGo
T22000082,23/11/2025 08:43,DR-1047,VH-023,East,North,4.52,14.1,EUR 12.55,wallet,Direct
T22000083,18/09/2025 08:12,DR-1020,VH-003,Airport,West,0.76,7.2,EUR 6.29,Card,CityHail
T22000084,25/10/2025 16:57,DR-1048,VH-028,Port,West,6.07,28.0,EUR 18.22,CASH,CityHail
T22000085,15/10/2025 23:01,DR-1019,VH-026,Port,Airport,1.96,10.8,EUR 8.68,card,Direct
T22000086,23/08/2025 03:34,DR-1027,VH-014,Suburbs,Centre,12.41,45.0,EUR 30.27,wallet,CityHail
T22000087,12/11/2025 11:08,DR-1035,VH-030,Suburbs,Airport,6.46,28.6,EUR 18.84,Card,CityHail
T22000088,03/09/2025 11:08,DR-1056,VH-008,West,Suburbs,2.2,12.2,EUR 9.35,CASH,Direct
T22000089,01/11/2025 08:10,DR-1038,VH-019, Centre ,Airport,7.64,34.9,EUR 21.96,CASH,RideGo
T22000090,28/09/2025 11:42,DR-1058,VH-012,Centre,East,6.45,20.9,EUR 16.67,CASH,CityHail
T22000091,16/09/2025 02:08,DR-1048,VH-010,Airport,North,3.08,11.6,EUR 10.19,wallet,CityHail
T22000092,12/12/2025 18:41,DR-1034,VH-021,Port,Airport,2.98,13.6,EUR 10.64,card,RideGo
T22000093,16/07/2025 00:49,DR-1060,VH-011,Airport,Centre,2.38,13.3,EUR 9.86,card,CityHail
T22000094,12/11/2025 07:57,DR-1042,VH-014,North,West,1.58,9.6,EUR 7.90,card,CityHail
T22000095,05/09/2025 16:13,DR-1016,VH-030,Centre,Suburbs,9.61,43.1,EUR 26.52,CASH,Direct
T22000096,25/08/2025 20:54,DR-1025,VH-021,North,Suburbs,4.98,17.8,EUR 14.11,cash,CityHail
T22000097,31/12/2025 20:11,DR-1043,VH-009, North ,Port,2.22,13.1,EUR 9.62,CASH,CityHail
T22000098,09/12/2025 15:25,DR-1012,VH-033,East,Suburbs,14.36,39.4,EUR 30.95,CASH,RideGo
T22000099,08/07/2025 00:23,DR-1068,VH-034,East,East,13.29,53.1,EUR 33.55,Card,RideGo
T22000100,30/08/2025 05:39,DR-1008,VH-022,Suburbs,Centre,12.25,50.1,EUR 31.52,CASH,RideGo
T22000101,25/10/2025 09:12,DR-1028,VH-009,West,Port,3.44,11.7,EUR 10.63,cash,RideGo
T22000102,27/10/2025 14:40,DR-1043,VH-031,East,East,10.37,30.0,EUR 23.73,Card,RideGo
T22000103,24/12/2025 08:15,DR-1033,VH-010,North,West,6.6,21.5,EUR 17.01,CASH,CityHail
T22000104,08/11/2025 03:07,DR-1066,VH-041, Suburbs ,West,3.7,16.2,EUR 12.19,wallet,RideGo
T22000105,05/12/2025 23:03,DR-1022,VH-004,Suburbs,North,0.88,8.6,EUR 6.82,CASH,CityHail
T22000106,27/09/2025 17:56,DR-1014,VH-021,Centre,West,4.27,15.0,EUR 12.51,card,CityHail
T22000107,11/12/2025 05:08,DR-1012,VH-010,Suburbs,Suburbs,4.31,15.3,EUR 12.64,CASH,RideGo
T22000108,16/07/2025 12:47,DR-1033,VH-015,Port,Suburbs,9.24,40.6,EUR 25.39,wallet,RideGo
T22000109,27/12/2025 05:09,DR-1051,VH-015,Centre,East,7.39,27.8,EUR 19.68,Card,RideGo
T22000110,11/10/2025 20:23,DR-1053,VH-013,West,Port,5.18,19.1,EUR 14.70,Card,RideGo
T22000111,01/11/2025 16:04,DR-1043,VH-037,Port,Airport,10.29,35.6,EUR 25.20,cash,RideGo
T22000112,15/07/2025 04:36,DR-1034,VH-010,North,North,5.61,29.9,EUR 18.22,CASH,Direct
T22000113,17/12/2025 10:03,DR-1063,VH-007,Suburbs,West,2.66,11.1,EUR 9.57,cash,RideGo
T22000114,19/12/2025 08:48,DR-1005,VH-026,Centre,Port,5.88,25.4,EUR 17.27,CASH,CityHail
T22000115,07/07/2025 05:15,DR-1020,VH-037,Centre,East,5.65,26.1,EUR 17.21,Card,CityHail
T22000116,03/07/2025 05:34,DR-1030,VH-035,Port,North,11.83,40.7,EUR 28.40,Card,RideGo
T22000117,23/11/2025 06:04,DR-1022,VH-039,West,Airport,2.3,14.5,EUR 10.10,wallet,CityHail
T22000118,07/09/2025 02:55,DR-1020,VH-032,Port,Suburbs,2.87,14.3,EUR 10.70,Card,CityHail
T22000119,08/10/2025 17:11,DR-1019,VH-012,Port,West,4.8,14.5,EUR 12.98,CASH,RideGo
T22000120,25/09/2025 12:42,DR-1006,VH-003,Port,Centre,6.39,24.0,EUR 17.47,CASH,Direct
T22000121,10/07/2025 08:11,DR-1015,VH-011,Centre,East,9.09,26.7,EUR 21.33,cash,Direct
T22000122,18/12/2025 08:47,DR-1061,VH-005,Airport,North,5.93,21.4,EUR 16.21,cash,RideGo
T22000123,10/11/2025 01:49,DR-1033,VH-037, West ,Suburbs,3.83,19.6,EUR 13.29,CASH,Direct
T22000124,10/09/2025 04:46,DR-1011,VH-007,West,West,4.92,19.6,EUR 14.55,cash,CityHail
T22000125,02/10/2025 12:51,DR-1008,VH-027,Suburbs,Airport,3.99,18.9,EUR 13.28,Card,RideGo
T22000126,03/07/2025 12:21,DR-1048,VH-003,Centre,Airport,5.42,19.6,EUR 15.12,cash,CityHail
T22000127,23/11/2025 02:51,DR-1030,VH-028,Airport,North,9.8,43.3,EUR 26.79,wallet,CityHail
T22000128,29/07/2025 07:50,DR-1015,VH-002,Centre,West,5.9,26.7,EUR 17.66,wallet,RideGo
T22000129,21/10/2025 22:32,DR-1036,VH-006,East,West,2.1,14.8,EUR 9.96,Card,CityHail
T22000130,20/10/2025 04:45,DR-1060,VH-003,Centre,Airport,5.75,28.4,EUR 17.96,Card,RideGo
T22000131,11/11/2025 16:52,DR-1028,VH-032,Suburbs,Port,18.1,85.7,EUR 48.21,card,RideGo
T22000132,08/07/2025 00:31,DR-1012,VH-019,Centre,Port,4.19,19.9,EUR 13.79,card,Direct
T22000133,23/12/2025 09:03,DR-1043,VH-040,Airport,Centre,14.41,62.8,EUR 37.56,wallet,RideGo
T22000134,08/08/2025 09:35,DR-1031,VH-003,East,Port,1.72,12.3,EUR 8.82,wallet,CityHail
T22000135,15/07/2025 06:22,DR-1041,VH-014,Centre,East,2.27,12.0,EUR 9.37,Card,RideGo
T22000136,26/08/2025 13:57,DR-1026,VH-041,East,Port,1.86,11.2,EUR 8.68,CASH,CityHail
T22000137,01/10/2025 17:21,DR-1051,VH-028,Centre,East,11.77,41.0,EUR 28.42,wallet,RideGo
T22000138,14/12/2025 12:38,DR-1056,VH-028,West,Suburbs,15.41,49.5,EUR 34.98,cash,RideGo
T22000139,06/11/2025 19:39,DR-1021,VH-020,Airport,Port,16.34,71.3,EUR 42.16,Card,Direct
T22000140,19/07/2025 03:54,DR-1045,VH-017,Port,Port,5.77,21.5,EUR 16.06,cash,CityHail
T22000141,11/10/2025 00:03,DR-1018,VH-030,East,Port,16.62,67.5,EUR 41.41,Card,RideGo
T22000142,12/09/2025 15:03,DR-1051,VH-030,Airport,East,4.22,21.7,EUR 14.33,Card,CityHail
T22000143,08/07/2025 17:33,DR-1060,VH-041,West,North,5.44,25.8,EUR 16.88,cash,CityHail
T22000144,12/12/2025 05:55,DR-1007,VH-021,Airport,East,9.47,31.1,EUR 23.00,wallet,Direct
T22000145,09/07/2025 15:29,DR-1028,VH-024,Airport,Suburbs,2.37,12.0,EUR 9.49,cash,CityHail
T22000146,14/08/2025 07:47,DR-1042,VH-040,North,North,11.12,48.1,EUR 29.66,wallet,RideGo
T22000147,11/07/2025 08:46,DR-1064,VH-035,Airport,East,11.6,54.7,EUR 32.06,cash,RideGo
T22000148,07/08/2025 05:56,DR-1041,VH-038,Airport,Port,13.52,60.1,EUR 35.78,Card,RideGo
T22000149,30/10/2025 05:25,DR-1063,VH-015,Airport,East,9.06,43.9,EUR 26.11,CASH,Direct
T22000150,28/08/2025 18:01,DR-1049,VH-025,Airport,Port,7.17,35.4,EUR 21.56,cash,RideGo
T22000151,25/08/2025 08:07,DR-1027,VH-026,Centre,Centre,11.6,36.6,EUR 26.99,wallet,RideGo
T22000152,09/12/2025 08:20,DR-1068,VH-038,West,West,11.47,49.7,EUR 30.51,card,RideGo
T22000153,02/11/2025 07:18,DR-1067,VH-020,Airport,West,1.51,9.6,EUR 7.82,CASH,CityHail
T22000154,23/09/2025 19:48,DR-1053,VH-005,Suburbs,West,5.21,18.2,EUR 14.49,card,CityHail
T22000155,03/09/2025 11:11,DR-1036,VH-003,North,Suburbs,6.73,33.0,EUR 20.38,Card,CityHail
T22000156,14/08/2025 13:14,DR-1056,VH-024,West,Airport,17.42,61.4,EUR 40.62,CASH,RideGo
T22000157,13/10/2025 18:34,DR-1043,VH-032,Airport,Suburbs,5.8,25.1,EUR 17.10,card,RideGo
T22000158,09/11/2025 00:33,DR-1036,VH-031,Airport,North,13.07,40.3,EUR 29.71,Card,RideGo
T22000159,06/10/2025 18:35,DR-1037,VH-042,Airport,North,9.01,33.7,EUR 23.20,wallet,Direct
T22000160,23/10/2025 03:09,DR-1027,VH-009,Centre,Port,2.88,12.2,EUR 10.13,CASH,RideGo
T22000161,09/07/2025 15:28,DR-1046,VH-039,Suburbs,North,10.88,48.1,EUR 29.38,Card,RideGo
T22000162,27/11/2025 15:37,DR-1004,VH-010,Suburbs,East,6.66,32.7,EUR 20.22,wallet,RideGo
T22000163,06/07/2025 01:47,DR-1002,VH-037,Port,West,3.22,18.2,EUR 12.20,CASH,RideGo
T22000164,23/07/2025 07:41,DR-1043,VH-034,Suburbs,Airport,12.86,54.0,EUR 33.31,card,RideGo
T22000165,20/08/2025 01:34,DR-1016,VH-010,East,Suburbs,10.52,50.8,EUR 29.72,wallet,CityHail
T22000166,15/07/2025 02:51,DR-1051,VH-031,Airport,Suburbs,8.73,42.1,EUR 25.23,CASH,RideGo
T22000167,27/11/2025 23:54,DR-1008,VH-031,Airport,Centre,4.05,19.0,EUR 13.38,CASH,RideGo
T22000168,11/10/2025 00:47,DR-1042,VH-007, Port ,Airport,3.0,16.0,EUR 11.33,cash,CityHail
T22000169,31/08/2025 02:04,DR-1011,VH-022,West,East,4.69,19.4,EUR 14.23,CASH,CityHail
T22000170,11/12/2025 02:08,DR-1036,VH-005, North ,Port,2.47,14.2,EUR 10.22,Card,CityHail
T22000171,23/11/2025 18:41,DR-1027,VH-014,Suburbs,Port,7.03,26.1,EUR 18.79,cash,RideGo
T22000172,08/08/2025 05:01,DR-1068,VH-035,Port,North,4.64,25.4,EUR 15.85,cash,CityHail
T22000173,01/07/2025 19:37,DR-1041,VH-011,Airport,West,22.91,61.9,EUR 47.08,Card,RideGo
T22000174,17/10/2025 11:05,DR-1046,VH-025,Centre,North,7.91,23.8,EUR 19.16,CASH,RideGo
T22000175,11/11/2025 21:46,DR-1046,VH-033,Centre,Centre,10.4,31.8,EUR 24.26,card,RideGo
T22000176,13/10/2025 19:11,DR-1017,VH-001,West,West,10.92,39.6,EUR 27.05,card,RideGo
T22000177,21/09/2025 08:35,DR-1047,VH-014,Centre,NULL,3.48,14.3,EUR 11.41,wallet,CityHail
T22000178,15/10/2025 22:21,DR-1018,VH-029,Centre,East,2.94,14.7,EUR 10.90,wallet,RideGo
T22000179,14/09/2025 17:29,DR-1030,VH-002, West ,East,2.96,12.6,EUR 10.33,Card,RideGo
T22000180,20/12/2025 08:06,DR-1064,VH-004,East,Port,16.45,45.3,EUR 35.00,wallet,RideGo
T22000181,29/10/2025 16:34,DR-1035,VH-017,Suburbs,Port,7.89,26.8,EUR 19.98,Card,CityHail
T22000182,30/12/2025 17:45,DR-1066,VH-008,Suburbs,Suburbs,17.25,63.9,EUR 41.13,card,RideGo
T22000183,20/11/2025 21:07,DR-1064,VH-031,West,West,8.02,37.4,EUR 23.10,CASH,CityHail
T22000184,07/10/2025 20:16,DR-1055,VH-040,North,Airport,6.42,20.3,EUR 16.47,Card,CityHail
T22000185,16/11/2025 18:06,DR-1020,VH-016,Centre,Suburbs,2.59,12.6,EUR 9.91,CASH,CityHail
T22000186,03/11/2025 09:48,DR-1033,VH-003,West,Port,11.69,55.5,EUR 32.38,card,RideGo
T22000187,23/08/2025 23:42,DR-1052,VH-041, Centre ,Centre,8.22,31.6,EUR 21.70,Card,CityHail
T22000188,10/08/2025 23:51,DR-1008,VH-007,West,NULL,6.91,25.9,EUR 18.60,cash,RideGo
T22000189,15/09/2025 06:20,DR-1021,VH-004,Centre,Port,16.65,55.4,EUR 38.06,CASH,Direct
T22000190,24/12/2025 11:15,DR-1025,VH-019,Port,Suburbs,3.61,15.0,EUR 11.75,wallet,RideGo
T22000191,05/12/2025 04:10,DR-1035,VH-004,East,Port,12.11,37.5,EUR 27.83,wallet,RideGo
T22000192,30/07/2025 17:42,DR-1032,VH-020,North,NULL,6.78,23.8,EUR 17.86,CASH,Direct
T22000193,26/08/2025 03:41,DR-1026,VH-035,Centre,West,10.74,29.5,EUR 24.01,card,RideGo
T22000194,07/11/2025 20:20,DR-1022,VH-001,North,East,7.53,30.1,EUR 20.49,Card,Direct
T22000195,05/09/2025 05:52,DR-1016,VH-025,Centre,North,4.49,17.4,EUR 13.44,CASH,CityHail
T22000196,28/09/2025 15:46,DR-1040,VH-029,Suburbs,Centre,5.23,24.0,EUR 16.13,Card,CityHail
T22000197,11/10/2025 23:37,DR-1060,VH-005,East,East,2.04,13.4,EUR 9.50,CASH,RideGo
T22000198,07/08/2025 03:58,DR-1028,VH-009,Centre,Port,8.38,32.1,EUR 22.02,Card,RideGo
T22000199,04/08/2025 12:37,DR-1068,VH-037,West,Centre,4.84,22.2,EUR 15.18,Card,Direct
T22000200,20/08/2025 21:36,DR-1022,VH-016,Centre,Airport,2.6,13.6,EUR 10.20,wallet,RideGo
T22000201,16/07/2025 02:34,DR-1014,VH-024,North,West,9.72,27.7,EUR 22.33,cash,Direct
T22000202,03/09/2025 22:55,DR-1060,VH-008,Port,Suburbs,1.46,10.5,EUR 8.02,wallet,CityHail
T22000203,03/11/2025 12:46,DR-1036,VH-028,West,Airport,2.25,10.9,EUR 9.04,cash,Direct
T22000204,19/09/2025 20:48,DR-1045,VH-022,East,West,14.3,49.1,EUR 33.59,cash,RideGo
T22000205,30/09/2025 13:32,DR-1066,VH-012, North ,Centre,6.19,17.7,EUR 15.47,card,CityHail
T22000206,09/07/2025 21:48,DR-1004,VH-005,Centre,Port,10.56,36.3,EUR 25.71,card,Direct
T22000207,13/07/2025 08:41,DR-1013,VH-020,East,East,3.19,17.6,EUR 12.00,Card,RideGo
T22000208,04/11/2025 18:10,DR-1004,VH-005, Airport ,Centre,10.07,29.5,EUR 23.24,wallet,RideGo
T22000209,03/12/2025 00:32,DR-1018,VH-028,Port,West,10.18,47.1,EUR 28.30,wallet,Direct
T22000210,19/10/2025 19:07,DR-1068,VH-036,Suburbs,East,12.29,37.9,EUR 28.15,Card,RideGo
T22000211,19/12/2025 03:02,DR-1033,VH-026, North ,East,8.35,40.1,EUR 24.23,Card,CityHail
T22000212,16/10/2025 00:40,DR-1045,VH-009,West,East,7.95,28.8,EUR 20.61,cash,Direct
T22000213,28/07/2025 20:41,DR-1040,VH-015,Centre,Airport,3.19,16.8,EUR 11.77,cash,CityHail
T22000214,07/10/2025 03:55,DR-1042,VH-002,East,Centre,17.14,77.1,EUR 44.70,CASH,RideGo
T22000215,06/07/2025 23:38,DR-1024,VH-038,East,Centre,3.42,19.3,EUR 12.74,Card,CityHail
T22000216,25/08/2025 04:06,DR-1032,VH-006,Port,Centre,7.87,30.7,EUR 21.05,Card,RideGo
T22000217,08/08/2025 09:41,DR-1056,VH-028,Port,West,11.5,31.3,EUR 25.39,Card,RideGo
T22000218,27/07/2025 13:25,DR-1014,VH-011,Airport,North,7.8,34.6,EUR 22.06,Card,CityHail
T22000219,06/11/2025 01:20,DR-1068,VH-003,East,West,7.89,36.7,EUR 22.75,card,Direct
T22000220,11/07/2025 15:50,DR-1023,VH-006,East,West,5.41,20.1,EUR 15.25,card,RideGo
T22000221,27/10/2025 06:00,DR-1068,VH-022,Airport,Port,4.75,22.1,EUR 15.05,Card,RideGo
T22000222,12/09/2025 14:00,DR-1056,VH-005,North,North,7.33,35.2,EUR 21.69,Card,RideGo
T22000223,26/09/2025 23:30,DR-1024,VH-005,East,Airport,14.16,39.8,EUR 30.83,Card,RideGo
T22000224,16/11/2025 10:40,DR-1044,VH-014,Airport,North,4.85,24.1,EUR 15.73,card,CityHail
T22000225,31/12/2025 08:33,DR-1058,VH-042,Centre,Suburbs,2.55,14.7,EUR 10.45,card,CityHail
T22000226,09/12/2025 04:40,DR-1031,VH-031,Centre,East,8.27,29.8,EUR 21.25,wallet,RideGo
T22000227,22/12/2025 07:02,DR-1055,VH-015,Centre,Port,5.28,15.0,EUR 13.67,wallet,CityHail
T22000228,02/12/2025 06:13,DR-1056,VH-030,Suburbs,Centre,3.41,16.1,EUR 11.83,CASH,CityHail
T22000229,23/11/2025 21:40,DR-1057,VH-041,Suburbs,East,3.22,14.5,EUR 11.16,cash,Direct
T22000230,28/10/2025 04:25,DR-1033,VH-042,Suburbs,West,5.45,22.4,EUR 15.94,Card,RideGo
T22000231,14/11/2025 02:18,DR-1053,VH-026,Centre,East,2.94,13.6,EUR 10.59,card,Direct
T22000232,07/12/2025 14:47,DR-1036,VH-009,West,Port,2.65,13.1,EUR 10.12,Card,RideGo
T22000233,11/09/2025 17:28,DR-1044,VH-038,Airport,Port,1.33,7.3,EUR 6.97,cash,CityHail
T22000234,01/12/2025 14:05,DR-1032,VH-010, Centre ,Centre,7.06,25.3,EUR 18.60,Card,RideGo
T22000235,15/07/2025 13:44,DR-1052,VH-039,East,Centre,7.3,22.4,EUR 18.07,Card,Direct
T22000236,29/08/2025 06:33,DR-1037,VH-024,West,Airport,3.49,20.4,EUR 13.13,card,RideGo
T22000237,11/07/2025 14:12,DR-1015,VH-028,North,Centre,3.34,12.8,EUR 10.82,CASH,CityHail
T22000238,04/11/2025 02:04,DR-1013,VH-024,Suburbs,West,2.71,15.7,EUR 10.91,CASH,Direct
T22000239,21/07/2025 13:43,DR-1009,VH-017,East,Airport,9.54,26.2,EUR 21.71,Card,RideGo
